year,temp_anom
1500,-1.5147
1501,-0.5041
1502,-0.6485
1503,0.0624
1504,0.5257
1505,0.0734
1506,0.9397
1507,-0.2153
1508,-1.3703
1509,-0.0709
1510,-0.9372
1511,-1.3703
1512,-0.5041
1513,-2.381
1514,-1.5147
1515,-0.5041
1516,0.0734
1517,-0.6485
1518,-0.7928
1519,-0.2153
1520,-0.2153
1521,0.6509
1522,-0.6485
1523,0.2178
1524,-0.5041
1525,-0.0709
1526,-0.9372
1527,-0.7666
1528,-0.2153
1529,-1.2771
1530,0.524
1531,-0.2323
1532,0.1838
1533,-0.3415
1534,0.0169
1535,-0.2153
1536,1.1506
1537,0.0514
1538,-0.0709
1539,-0.3691
1540,2.3366
1541,-1.0816
1542,-1.8379
1543,-1.5147
1544,-1.3703
1545,0.9458
1546,-0.8943
1547,-0.0709
1548,0.0734
1549,-0.3597
1550,-1.0887
1551,-0.8668
1552,0.4361
1553,-0.3414
1554,-0.4053
1555,-0.8093
1556,-0.0016
1557,-0.025
1558,0.5439
1559,0.5317
1560,-0.7581
1561,-0.3774
1562,0.2436
1563,-0.8739
1564,-0.9104
1565,-0.9879
1566,-0.2126
1567,0.7983
1568,-1.6338
1569,-1.8307
1570,-1.2652
1571,-0.6148
1572,-1.0457
1573,-2.4967
1574,-0.121
1575,-0.5558
1576,-0.9642
1577,-0.6081
1578,-0.6922
1579,-1.6959
1580,-0.3754
1581,-0.0888
1582,-0.438
1583,0.3008
1584,0.1802
1585,-0.8792
1586,-1.4312
1587,-2.2037
1588,-1.5056
1589,-1.2309
1590,0.358
1591,-0.5461
1592,-0.7386
1593,-1.4909
1594,-2.0861
1595,-1.7881
1596,-0.061
1597,-1.9787
1598,-0.9703
1599,0.3195
1600,-2.5589
1601,-2.3151
1602,0.0875
1603,1.0286
1604,-0.081
1605,0.4755
1606,-0.7129
1607,0.3988
1608,-1.9885
1609,-0.2747
1610,0.1749
1611,0.1241
1612,-0.3079
1613,-0.5509
1614,-1.6603
1615,-0.1539
1616,0.594
1617,0.304
1618,-1.2769
1619,-0.5571
1620,-0.3597
1621,-1.6495
1622,-0.8211
1623,-0.0774
1624,0.1897
1625,-0.3501
1626,0.5899
1627,-2.4383
1628,-1.2107
1629,0.6521
1630,0.0368
1631,0.2418
1632,-1.0258
1633,-0.7616
1634,-0.4962
1635,-1.2244
1636,-0.1751
1637,-0.2356
1638,0.5632
1639,-0.8313
1640,-1.7193
1641,-1.6656
1642,-0.219
1643,-0.8268
1644,0.0325
1645,0.1492
1646,0.2338
1647,0.396
1648,-1.1662
1649,-1.28
1650,0.072
1651,-0.4727
1652,0.1787
1653,-0.1653
1654,-0.4341
1655,-0.3342
1656,-0.9318
1657,-0.7249
1658,-1.7466
1659,-0.6408
1660,-0.5026
1661,1.2207
1662,-0.0479
1663,-1.4653
1664,-0.7231
1665,-1.4621
1666,0.1205
1667,-0.9791
1668,0.0958
1669,0.5598
1670,-0.4879
1671,0.9289
1672,-0.8471
1673,-0.5129
1674,-1.145
1675,-1.5557
1676,-0.802
1677,-1.2474
1678,0.5188
1679,-1.4787
