Year,IT01,IT02,IT03,IT04,ES01,ES02,ES03,ES04,ES05,ES06,ES07,ES08,ES09,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20,PT01,FR01,FR02,FR03,FR04,FR05,FR06,FR07,FR08,FR09,FR10,FR11,FR12,FR13,FR14,FR15,GB01,GB02,GB03,BE01,BE02,BE03,BE04,NL01,DE01,DE02,DE03,DE04,DE05,DE06,DE07,DE08,CH01,CH02,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,AT01,AT02,HR01,HU01,HU02,HU03,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,PL01,PL02,NO01,NO02,NO03,NO04,NO05,NO06,NO07,NO08,NO09,NO10,SE01,SE02,SE03,SE04,LV01,RU01,RU02,RU03,RU04,RU05
1500,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1501,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1502,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1503,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1504,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1505,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1506,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1507,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1508,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1509,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
