code,country,river,location,lat1,lat2,lat3,lon1,lon2,lon3,lon4,Repres,Interp,regionEU
IT01,Italy,Adige,Verona,45,26,28.81,10,59,50.26,O,2,1,s
IT02,Italy,Arno,Florence,43,46,14.69,11,14,51.58,O,2,1,s
IT03,Italy,Po,Ferrara,44,49,49.08,11,36,51.69,O,1,1,s
IT04,Italy,Tiber,Rome,41,54,5.78,12,27,57.94,O,1,1,s
ES01,Spain,Middle Duero,Zamora,41,30,0.84,5,44,30,W,2,1,s
ES02,Spain,Lower Ebro,Tortosa,40,48,46.53,0,31,13.5,O,2,1,s
ES03,Spain,Upper Ebro,Zaragoza,41,39,23.98,0,52,53.6,W,3,1,s
ES04,Spain,Guadalmedina,Malaga,36,42,35.66,4,25,33.34,W,1,1,s
ES05,Spain,Guadalquivir,Sevilla,37,23,31.84,6,1,2.11,W,1,1,s
ES06,Spain,Jucar,Alzira,39,9,4.27,0,26,0.11,W,2,1,s
ES07,Spain,Llobregat,Prat de Llobregat,41,19,35.39,2,6,40.85,O,1,1,s
ES08,Spain,Nervion,Bilbao,43,15,58.91,2,55,40.33,W,2,1,s
ES09,Spain,Pisuerga,Valladolid,41,39,34.48,4,43,55.78,W,2,0,s
ES10,Spain,Rieres Pla de Barcelona,Barcelona,41,25,27.96,2,13,23.96,O,3,1,s
ES11,Spain,Sa Riera,Palma de Mallorca,39,34,11.24,2,38,24.8,O,2,1,s
ES12,Spain,Middle Segre,Balaguer,41,47,30.46,0,48,25.52,O,2,0,s
ES13,Spain,Upper Segre,La Seu d Urgell,42,21,8.7,1,27,34.91,O,2,0,s
ES14,Spain,Lower Segre,Lleida,41,36,53.24,0,37,41.2,O,1,1,s
ES15,Spain,Segura,Murcia,37,59,1.73,1,7,54.9,W,1,1,s
ES16,Spain,Riera de Sobirans,Arenys de Mar,41,34,42.48,2,33,6.62,O,3,1,s
ES17,Spain,Tagus,Aranjuez,40,1,56.62,3,36,44.93,W,1,1,s
ES18,Spain,Tajo,Toledo,39,51,28.76,4,1,1.2,W,1,1,s
ES19,Spain,Ter,Girona,41,59,24.14,2,49,9.32,O,1,1,s
ES20,Spain,Turia,Valencia,39,27,14.5,0,20,29.83,W,1,1,s
PT01,Portugal,Lower Duero,Porto,41,9,3.68,8,38,38.49,W,1,1,s
FR01,France,Allier,Parentignat,45,43,47.17,3,12,58,O,2,1,w
FR02,France,Durance,Bonpas,43,41,21.15,5,40,1.34,O,2,1,w
FR03,France,Drac,Grenoble,45,11,22.64,5,42,7.24,O,2,1,w
FR04,France,Middle Garonne,Agen,44,11,42.05,0,36,40.06,O,1,1,w
FR05,France,Upper Garonne,Toulouse,43,35,41.68,1,26,19.89,O,2,0,w
FR06,France,Isere,Grenoble,45,11,40.7,5,43,44.25,O,2,1,w
FR07,France,Middle Loire,Blois,45,51,53.83,1,47,56.28,O,1,0,w
FR08,France,Lower Loire,Saumur,47,15,41.87,0,4,35.66,W,1,1,w
FR09,France,Marne,Meaux,48,57,28.95,2,52,47.59,O,2,1,w
FR10,France,Oise,Pontoise,49,15,6.18,2,27,26.44,O,3,1,w
FR11,France,Rhone,Arles,43,56,29.19,4,47,2.3,O,1,1,w
FR12,France,Saone,Lyon,46,18,18.92,4,50,9.45,O,2,1,w
FR13,France,Seine,Paris,48,51,27.53,2,20,22.72,O,1,1,w
FR14,France,Tarn,Montauban,44,1,1.11,1,20,55.88,O,3,1,w
FR15,France,Yonne,Courlon,48,12,17,3,16,30.5,O,2,1,w
GB01,Great Britain,Yorkshire Ouse,York,53,57,39,1,5,13.57,W,3,1,w
GB02,Great Britain,Tay,Perth,56,23,41.74,3,25,31.35,W,3,1,w
GB03,Great Britain,Trent,Nottingham,52,56,17.22,1,8,9.5,W,3,1,w
BE01,Belgium,Jeker,Maastricht,50,50,30.27,5,41,58.69,O,3,1,w
BE02,Belgium,Hoyoux,Huy,50,31,11.5,5,14,17.76,O,3,1,w
BE03,Belgium,Sambre,Namur,50,27,42.92,4,52,3.96,O,2,1,w
BE04,Belgium,Meuse,Venlo,50,38,55.16,5,36,8.58,O,1,1,w
NL01,Netherlands,Lower Rhine,Gorinchem,51,50,58.27,6,6,40.43,O,1,1,w
DE01,Germany,Inn,Wasserburg,47,16,27.09,11,25,47.37,O,2,1,c
DE02,Germany,Iller,Kempten,47,43,42.8,10,19,4.14,O,2,0,c
DE03,Germany,Isar,Munchen,48,8,58.22,11,35,53.47,O,2,1,c
DE04,Germany,Lech,Augsburg,48,22,33.62,10,54,48.36,O,2,0,c
DE05,Germany,Main,Wurzburg,49,47,56.02,9,55,25.39,O,1,1,c
DE06,Germany,Upper Danube,Ulm,48,23,34.58,9,59,17.18,O,1,1,c
DE07,Germany,Salzach,Burghausen,48,10,0.07,12,50,18.89,O,2,0,c
DE08,Germany,Werra,Vacha,50,34,27.11,10,24,53.21,O,1,1,c
CH01,Switzerland,Upper Rhine,Basel,47,33,47.98,7,35,28.21,O,2,1,c
CH02,Switzerland,Alpenrhein,Fussach,47,2,57.09,9,28,39.67,O,2,0,c
CH03,Switzerland,Aare,Brienzwiler,46,44,47.13,8,5,58.98,O,3,0,c
